ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-01,25017.425062204802,6447.941552691055,41378.32923238485,25017.425062204802,25017.425062204802,-732.9391834000478,-732.9391834000478,-732.9391834000478,-732.9391834000478,-732.9391834000478,-732.9391834000478,0.0,0.0,0.0,24284.485878804753
2010-12-02,25010.737066043064,13719.280888526502,48535.81026434509,25010.737066043064,25010.737066043064,6523.218076422231,6523.218076422231,6523.218076422231,6523.218076422231,6523.218076422231,6523.218076422231,0.0,0.0,0.0,31533.955142465296
2010-12-03,25004.049069881326,5424.014910771494,40305.600044096536,25004.049069881326,25004.049069881326,-1479.2800092332059,-1479.2800092332059,-1479.2800092332059,-1479.2800092332059,-1479.2800092332059,-1479.2800092332059,0.0,0.0,0.0,23524.76906064812
2010-12-05,24990.673077557847,-7568.358712790818,27858.951395585547,24990.673077557847,24990.673077557847,-14952.752658266763,-14952.752658266763,-14952.752658266763,-14952.752658266763,-14952.752658266763,-14952.752658266763,0.0,0.0,0.0,10037.920419291084
2010-12-06,24983.98508139611,5113.670838631948,39838.197320467654,24983.98508139611,24983.98508139611,-1984.521175282033,-1984.521175282033,-1984.521175282033,-1984.521175282033,-1984.521175282033,-1984.521175282033,0.0,0.0,0.0,22999.463906114077
2010-12-07,24977.29708523437,9038.680456753154,44662.11926084022,24977.29708523437,24977.29708523437,1970.495348500544,1970.495348500544,1970.495348500544,1970.495348500544,1970.495348500544,1970.495348500544,0.0,0.0,0.0,26947.792433734914
2010-12-08,24970.609089072634,6353.759862292961,42354.42393717007,24970.609089072634,24970.609089072634,-732.9391834708999,-732.9391834708999,-732.9391834708999,-732.9391834708999,-732.9391834708999,-732.9391834708999,0.0,0.0,0.0,24237.669905601735
2010-12-09,24963.9210929109,13483.941673937295,48796.35825268553,24963.9210929109,24963.9210929109,6523.218076434138,6523.218076434138,6523.218076434138,6523.218076434138,6523.218076434138,6523.218076434138,0.0,0.0,0.0,31487.13916934504
2010-12-10,24957.23309674916,5635.285654247188,42254.709373697406,24957.23309674916,24957.23309674916,-1479.2800092348036,-1479.2800092348036,-1479.2800092348036,-1479.2800092348036,-1479.2800092348036,-1479.2800092348036,0.0,0.0,0.0,23477.953087514357
2010-12-12,24943.857104425682,-7606.992890101759,28464.78743204412,24943.857104425682,24943.857104425682,-14952.752658282663,-14952.752658282663,-14952.752658282663,-14952.752658282663,-14952.752658282663,-14952.752658282663,0.0,0.0,0.0,9991.10444614302
2010-12-13,24937.169108263948,3679.595560261815,39661.40260008704,24937.169108263948,24937.169108263948,-1984.5211753053168,-1984.5211753053168,-1984.5211753053168,-1984.5211753053168,-1984.5211753053168,-1984.5211753053168,0.0,0.0,0.0,22952.647932958633
2010-12-14,24930.481145527356,9302.38378615891,44235.50410466129,24930.481145527356,24930.481145527356,1970.4953484591283,1970.4953484591283,1970.4953484591283,1970.4953484591283,1970.4953484591283,1970.4953484591283,0.0,0.0,0.0,26900.976493986484
2010-12-15,24923.793182790767,5872.732967417213,40529.47714758674,24923.793182790767,24923.793182790767,-732.9391834313794,-732.9391834313794,-732.9391834313794,-732.9391834313794,-732.9391834313794,-732.9391834313794,0.0,0.0,0.0,24190.853999359388
2010-12-16,24917.105220054174,13074.777634481403,49641.26929580787,24917.105220054174,24917.105220054174,6523.218076446044,6523.218076446044,6523.218076446044,6523.218076446044,6523.218076446044,6523.218076446044,0.0,0.0,0.0,31440.323296500217
2010-12-17,24910.41725731759,5718.019020783019,41757.73398524702,24910.41725731759,24910.41725731759,-1479.280009217578,-1479.280009217578,-1479.280009217578,-1479.280009217578,-1479.280009217578,-1479.280009217578,0.0,0.0,0.0,23431.13724810001
2010-12-19,24897.041331844408,-7785.032027249213,27443.67124688344,24897.041331844408,24897.041331844408,-14952.75265824863,-14952.75265824863,-14952.75265824863,-14952.75265824863,-14952.75265824863,-14952.75265824863,0.0,0.0,0.0,9944.288673595778
2010-12-20,24890.353369107816,5591.176432858696,41603.940341532594,24890.353369107816,24890.353369107816,-1984.5211753099102,-1984.5211753099102,-1984.5211753099102,-1984.5211753099102,-1984.5211753099102,-1984.5211753099102,0.0,0.0,0.0,22905.832193797905
2010-12-21,24883.66540637123,9079.9587036383,44850.842695562686,24883.66540637123,24883.66540637123,1970.4953485243552,1970.4953485243552,1970.4953485243552,1970.4953485243552,1970.4953485243552,1970.4953485243552,0.0,0.0,0.0,26854.160754895587
2010-12-22,24876.977443634638,6820.951765875655,40963.06128559376,24876.977443634638,24876.977443634638,-732.9391834470439,-732.9391834470439,-732.9391834470439,-732.9391834470439,-732.9391834470439,-732.9391834470439,0.0,0.0,0.0,24144.038260187594
2010-12-23,24870.28948089804,13703.436164929757,49336.94339095537,24870.28948089804,24870.28948089804,6523.218076409838,6523.218076409838,6523.218076409838,6523.218076409838,6523.218076409838,6523.218076409838,0.0,0.0,0.0,31393.50755730788
2011-01-04,24790.033891950538,9225.455380669468,44184.40824299241,24790.033891950538,24790.033891950538,1970.4953484897949,1970.4953484897949,1970.4953484897949,1970.4953484897949,1970.4953484897949,1970.4953484897949,0.0,0.0,0.0,26760.529240440334
2011-01-05,24783.345926204915,6224.754744109749,42030.769261472204,24783.345926204915,24783.345926204915,-732.9391833594582,-732.9391833594582,-732.9391833594582,-732.9391833594582,-732.9391833594582,-732.9391833594582,0.0,0.0,0.0,24050.40674284546
2011-01-06,24776.657960459288,13225.275024501874,48480.415961133454,24776.657960459288,24776.657960459288,6523.21807643365,6523.21807643365,6523.21807643365,6523.21807643365,6523.21807643365,6523.21807643365,0.0,0.0,0.0,31299.876036892936
2011-01-07,24769.969994713665,5433.387112943653,40685.31316385219,24769.969994713665,24769.969994713665,-1479.2800092559933,-1479.2800092559933,-1479.2800092559933,-1479.2800092559933,-1479.2800092559933,-1479.2800092559933,0.0,0.0,0.0,23290.689985457673
